@type,country,countryCode,county,countyId,data_max_gap,data_max_year,data_min_year,data_nyears,data_success,externalIds,geometry,icaoCodes,id,masl,municipality,municipalityId,name,shipCodes,shortName,stationHolders,validFrom,wigosId,wmoId
SensorSystem,Norge,NO,VESTFOLD OG TELEMARK,38.0,3.0,2019,1995,21,True,"['01485', '1485', '3']","{'@type': 'Point', 'coordinates': [10.215, 59.6193], 'nearest': False}",,SN26990,60.0,HOLMESTRAND,3802,SANDE - GALLEBERG,,Sande,"['NIBIO', 'MET.NO']",1995-01-01T00:00:00.000Z,0-20000-0-01485,1485.0
SensorSystem,Norge,NO,TROMS OG FINNMARK,54.0,1.0,2019,2010,10,True,"['01198', '300134010813500']","{'@type': 'Point', 'coordinates': [19.7017, 68.7817], 'nearest': False}",,SN89940,204.0,MÅLSELV,5418,DIVIDALEN II,,Dividalen,['MET.NO'],2009-10-08T00:00:00.000Z,0-20000-0-01198,1198.0
SensorSystem,Norge,NO,VIKEN,30.0,1.0,2019,2004,16,True,"['01363', '10.249.0.43', '1363', 'ENDI']","{'@type': 'Point', 'coordinates': [8.5263, 60.4188], 'nearest': False}",['ENDI'],SN29720,798.0,HOL,3044,DAGALI LUFTHAVN,,Dagali LH,"['MET.NO', 'DAGALI FLYPLASS (GEILO LUFTHAVN)']",2001-11-01T00:00:00.000Z,0-20000-0-01363,1363.0
SensorSystem,Norge,NO,ROGALAND,11.0,22.0,2019,1928,59,True,"['01416', '10.249.0.92']","{'@type': 'Point', 'coordinates': [5.7278, 58.9563], 'nearest': False}",,SN44640,72.0,STAVANGER,1103,STAVANGER - VÅLAND,,Våland,['STAVANGER KOMMUNE'],1882-01-01T00:00:00.000Z,0-20000-0-01416,1416.0
SensorSystem,Norge,NO,VIKEN,30.0,1.0,2012,2011,2,True,['01477'],"{'@type': 'Point', 'coordinates': [10.146, 59.713], 'nearest': False}",,SN27010,193.0,DRAMMEN,3005,KONNERUD,,Konnerud ,['DRAMMEN KOMMUNE'],2010-03-19T00:00:00.000Z,0-20000-0-01477,1477.0
SensorSystem,Norge,NO,TROMS OG FINNMARK,54.0,1.0,2011,2010,2,True,['10.249.0.121'],"{'@type': 'Point', 'coordinates': [18.6938, 69.9903], 'nearest': False}",,SN90720,26.0,TROMSØ,5401,MÅSVIK,,Måsvik,['MET.NO'],2003-10-08T00:00:00.000Z,0-578-0-90720,
SensorSystem,Norge,NO,VIKEN,30.0,,2011,2011,1,True,,"{'@type': 'Point', 'coordinates': [8.7057, 60.255], 'nearest': False}",,SN29350,648.0,NORE OG UVDAL,3052,UVDAL KRAFTVERK,,Uvdal kraftverk,['ASKER/BÆRUM KRAFTSELSKAP'],1985-10-01T00:00:00.000Z,0-578-0-29350,
SensorSystem,Norge,NO,TROMS OG FINNMARK,54.0,14.0,2019,1928,79,True,"['01078', '10.249.0.88']","{'@type': 'Point', 'coordinates': [28.217, 71.0888], 'nearest': False}",,SN96400,8.0,GAMVIK,5439,SLETTNES FYR,,Slettnes fyr,['MET.NO'],1927-11-28T00:00:00.000Z,0-20000-0-01078,1078.0
SensorSystem,Norge,NO,TRØNDELAG,50.0,1.0,2019,1940,80,True,"['01124', '10.249.0.222']","{'@type': 'Point', 'coordinates': [12.4692, 64.1587], 'nearest': False}",,SN70850,195.0,SNÅSA,5041,SNÅSA - KJEVLIA,,Snåsa - Kjevlia,['MET.NO'],1895-07-01T00:00:00.000Z,0-20000-0-01124,1124.0
SensorSystem,Norge,NO,NORDLAND,18.0,1.0,2019,1954,66,True,"['01152', 'ENBO']","{'@type': 'Point', 'coordinates': [14.3637, 67.267], 'nearest': False}",['ENBO'],SN82290,11.0,BODØ,1804,BODØ VI,,Bodø,"['AVINOR', 'MET.NO']",1953-01-01T00:00:00.000Z,0-20000-0-01152,1152.0
SensorSystem,Norge,NO,NORDLAND,18.0,1.0,2012,2009,4,True,['01105'],"{'@type': 'Point', 'coordinates': [15.943, 68.368], 'nearest': False}",,SN85040,8.0,LØDINGEN,1851,ROTVÆR,,Rotvær,['MET.NO'],1938-06-03T00:00:00.000Z,0-20000-0-01105,1105.0
SensorSystem,Norge,NO,NORDLAND,18.0,1.0,2012,2008,5,True,"['01143', '10.249.0.166']","{'@type': 'Point', 'coordinates': [16.0838, 68.0472], 'nearest': False}",,SN83710,19.0,NARVIK,1806,DRAG - AJLUOKTA,,Drag,['MET.NO'],2007-07-02T00:00:00.000Z,0-20000-0-01143,1143.0
SensorSystem,Norge,NO,NORDLAND,18.0,2.0,2019,1916,103,True,['10.249.0.213'],"{'@type': 'Point', 'coordinates': [13.9793, 66.8102], 'nearest': False}",,SN80700,39.0,MELØY,1837,GLOMFJORD,,Glomfjord,['MET.NO'],1916-01-01T00:00:00.000Z,0-578-0-80700,
SensorSystem,Norge,NO,VESTLAND,46.0,42.0,2017,1967,10,True,['79'],"{'@type': 'Point', 'coordinates': [6.9325, 60.5637], 'nearest': False}",,SN49910,42.0,ULVIK,4620,ULVIK - HJELTNES,,Hjeltnes,['NIBIO'],1966-06-01T00:00:00.000Z,0-578-0-49910,
SensorSystem,Norge,NO,NORDLAND,18.0,1.0,2019,2005,15,True,"['01116', '10.249.0.14', 'ENST']","{'@type': 'Point', 'coordinates': [12.4783, 65.9635], 'nearest': False}",['ENST'],SN76750,17.0,ALSTAHAUG,1820,SANDNESSJØEN LH - STOKKA,,Sandnessjøen,['AVINOR'],1968-07-01T00:00:00.000Z,0-20000-0-01116,1116.0
SensorSystem,Norge,NO,INNLANDET,34.0,5.0,2019,1948,64,True,['01393'],"{'@type': 'Point', 'coordinates': [12.048, 61.8872], 'nearest': False}",,SN700,672.0,ENGERDAL,3425,DREVSJØ,,Drevsjø,['MET.NO'],1947-10-20T00:00:00.000Z,0-20000-0-01393,1393.0
